iter	Passed	Remaining
211	1188	4416
212	1193	4410
213	1197	4398
214	1201	4387
215	1205	4375
216	1211	4372
217	1216	4362
218	1219	4349
219	1230	4363
220	1234	4352
221	1239	4344
222	1243	4333
223	1247	4321
224	1251	4309
225	1258	4308
226	1261	4296
227	1265	4284
228	1269	4274
229	1273	4264
230	1277	4253
231	1281	4241
232	1285	4231
233	1289	4222
234	1293	4211
235	1297	4199
236	1301	4189
237	1305	4178
238	1308	4167
239	1312	4155
240	1316	4146
241	1324	4147
242	1327	4136
243	1332	4127
244	1336	4118
245	1340	4108
246	1344	4097
247	1348	4089
248	1353	4082
249	1357	4072
250	1361	4062
251	1365	4053
252	1369	4043
253	1373	4033
254	1378	4028
255	1382	4018
256	1386	4007
257	1389	3997
258	1395	3991
259	1398	3980
260	1402	3970
261	1405	3960
262	1411	3954
263	1414	3944
264	1418	3934
265	1423	3926
266	1427	3917
267	1430	3907
268	1434	3897
269	1438	3889
270	1442	3881
271	1446	3871
272	1450	3862
273	1455	3857
274	1459	3848
275	1462	3835
276	1465	3825
277	1470	3818
278	1474	3809
279	1477	3800
280	1481	3790
281	1486	3784
282	1489	3774
283	1494	3766
284	1497	3757
285	1502	3750
286	1506	3741
287	1509	3732
288	1513	3722
289	1517	3715
290	1521	3707
291	1525	3699
292	1529	3690
293	1534	3684
294	1538	3675
295	1541	3666
296	1545	3658
297	1550	3651
298	1553	3643
299	1557	3634
300	1562	3628
301	1566	3620
302	1570	3611
303	1573	3602
304	1578	3597
305	1582	3588
306	1586	3581
307	1590	3572
308	1595	3568
309	1599	3559
310	1602	3550
311	1607	3544
312	1611	3536
313	1614	3527
314	1618	3519
315	1623	3513
316	1627	3506
317	1631	3498
318	1635	3490
319	1639	3484
320	1643	3476
321	1647	3468
322	1651	3460
323	1655	3454
324	1659	3446
325	1663	3438
326	1669	3435
327	1673	3428
328	1677	3420
329	1680	3412
330	1685	3406
331	1689	3398
332	1692	3390
333	1696	3381
334	1700	3376
335	1704	3368
336	1708	3360
337	1711	3352
338	1716	3346
339	1720	3339
340	1723	3331
341	1727	3323
342	1731	3317
343	1735	3309
344	1739	3301
345	1742	3294
346	1748	3290
347	1752	3282
348	1755	3274
349	1760	3268
350	1763	3261
351	1767	3253
352	1771	3246
353	1775	3240
354	1779	3233
355	1783	3225
356	1786	3217
357	1791	3212
358	1795	3205
359	1798	3197
360	1802	3190
361	1807	3185
362	1810	3177
363	1814	3170
364	1818	3163
365	1823	3158
366	1827	3152
367	1831	3145
368	1835	3138
369	1840	3133
370	1843	3126
371	1847	3119
372	1852	3113
373	1856	3107
374	1860	3101
375	1865	3096
376	1870	3090
377	1874	3084
378	1882	3085
379	1887	3079
380	1891	3072
381	1894	3065
382	1899	3060
383	1903	3053
384	1907	3046
385	1910	3039
386	1915	3034
387	1919	3027
388	1923	3020
389	1926	3013
390	1931	3008
391	1935	3002
392	1939	2995
393	1944	2990
394	1948	2984
395	1951	2977
396	1955	2970
397	1959	2963
398	1964	2959
399	1968	2953
400	1973	2947
401	1977	2942
402	1981	2935
403	1985	2928
404	1988	2921
405	1993	2916
406	1997	2910
407	2000	2903
408	2005	2897
409	2009	2891
410	2013	2884
411	2016	2878
412	2021	2873
413	2025	2867
414	2029	2860
415	2032	2853
416	2038	2850
417	2042	2843
418	2046	2837
